Frequency (Hz)	Level (dB)
0.672913	-89.353737
1.345825	-79.821747
2.018738	-76.008118
2.691650	-80.136398
3.364563	-75.977211
4.037476	-73.836227
4.710388	-70.898994
5.383301	-71.882362
6.056213	-68.292107
6.729126	-63.139660
7.402039	-70.427948
8.074951	-52.950630
8.747864	-50.138615
9.420776	-54.816418
10.093689	-57.303051
10.766602	-54.716145
11.439514	-54.377701
12.112427	-60.705059
12.785339	-60.414944
13.458252	-58.851910
14.131165	-67.877419
14.804077	-69.386162
15.476990	-59.751888
16.149902	-69.217728
16.822815	-72.775337
17.495728	-61.953960
18.168640	-63.862762
18.841553	-69.222786
19.514465	-68.401634
20.187378	-67.735268
20.860291	-75.642075
21.533203	-73.261597
22.206116	-73.808815
22.879028	-77.692001
23.551941	-72.252625
24.224854	-70.931587
24.897766	-70.947212
25.570679	-73.961845
26.243591	-70.713966
26.916504	-68.820190
27.589417	-71.478127
28.262329	-73.240486
28.935242	-71.315315
29.608154	-65.067322
30.281067	-68.959824
30.953979	-73.342926
31.626892	-81.971390
32.299805	-75.831566
32.972717	-74.708557
33.645630	-75.864464
34.318542	-77.194351
34.991455	-79.019394
35.664368	-74.959854
36.337280	-77.172089
37.010193	-82.259415
37.683105	-74.155968
38.356018	-72.277107
39.028931	-80.792854
39.701843	-70.200668
40.374756	-66.599632
41.047668	-66.491966
41.720581	-72.011360
42.393494	-74.438965
43.066406	-77.045303
43.739319	-77.662521
44.412231	-71.060219
45.085144	-64.458725
45.758057	-54.016060
46.430969	-54.009918
47.103882	-67.579910
47.776794	-75.500351
48.449707	-76.841782
49.122620	-72.171341
49.795532	-67.768250
50.468445	-71.195778
51.141357	-77.075294
51.814270	-80.669754
52.487183	-81.516342
53.160095	-81.659279
53.833008	-83.288719
54.505920	-85.693436
55.178833	-88.165390
55.851746	-86.401123
56.524658	-78.564857
57.197571	-80.265556
57.870483	-81.702843
58.543396	-80.271477
59.216309	-84.305138
59.889221	-79.001389
60.562134	-82.036812
61.235046	-78.489273
61.907959	-82.144150
62.580872	-81.693047
63.253784	-81.266670
63.926697	-79.860443
64.599609	-82.292595
65.272522	-81.198425
65.945435	-80.270462
