Frequency (Hz)	Level (dB)
0.672913	-91.710594
1.345825	-82.657089
2.018738	-79.338226
2.691650	-80.905151
3.364563	-77.633385
4.037476	-74.107323
4.710388	-72.905235
5.383301	-72.027504
6.056213	-63.825356
6.729126	-59.070538
7.402039	-64.505402
8.074951	-58.041725
8.747864	-57.627148
9.420776	-58.980724
10.093689	-57.355541
10.766602	-58.752548
11.439514	-57.632145
12.112427	-61.876644
12.785339	-62.266129
13.458252	-63.118359
14.131165	-68.307465
14.804077	-64.448074
15.476990	-61.212219
16.149902	-64.058479
16.822815	-67.384262
17.495728	-63.424984
18.168640	-65.746178
18.841553	-71.311089
19.514465	-70.314949
20.187378	-70.204964
20.860291	-73.117241
21.533203	-76.184517
22.206116	-71.208305
22.879028	-72.739342
23.551941	-71.584488
24.224854	-78.163033
24.897766	-76.507622
25.570679	-77.526245
26.243591	-77.016724
26.916504	-74.638687
27.589417	-77.667198
28.262329	-73.076065
28.935242	-71.822365
29.608154	-73.814079
30.281067	-75.839966
30.953979	-79.483307
31.626892	-77.748116
32.299805	-79.405739
32.972717	-75.793365
33.645630	-74.497910
34.318542	-73.273438
34.991455	-76.608833
35.664368	-77.775856
36.337280	-76.072952
37.010193	-80.474510
37.683105	-79.230362
38.356018	-78.139702
39.028931	-79.623528
39.701843	-73.297218
40.374756	-70.512062
41.047668	-69.638344
41.720581	-76.621338
42.393494	-75.114449
43.066406	-77.108452
43.739319	-82.941864
44.412231	-79.385017
45.085144	-76.007820
45.758057	-64.476089
46.430969	-64.328041
47.103882	-74.945961
47.776794	-81.205421
48.449707	-78.788658
49.122620	-80.217415
49.795532	-64.523582
50.468445	-68.432922
51.141357	-78.211296
51.814270	-76.468369
52.487183	-81.356590
53.160095	-80.486488
53.833008	-80.802277
54.505920	-83.957108
55.178833	-82.991714
55.851746	-83.869194
56.524658	-80.593597
57.197571	-79.091408
57.870483	-82.909546
58.543396	-80.707649
59.216309	-81.651413
59.889221	-78.423927
60.562134	-77.263184
61.235046	-70.124374
61.907959	-77.759583
62.580872	-79.022568
63.253784	-82.250175
63.926697	-87.547546
64.599609	-85.105721
65.272522	-80.022758
65.945435	-80.465958
66.618347	-80.075836
67.291260	-82.502029
67.964172	-80.914742
68.637085	-84.090759
69.309998	-86.578201
69.982910	-83.731369
70.655823	-81.433167
71.328735	-84.020737
72.001648	-85.105614
72.674561	-84.658745
73.347473	-83.082756
74.020386	-81.758385
74.693298	-82.388962
75.366211	-82.389275
76.039124	-82.432800
76.712036	-82.910294
77.384949	-83.864555
78.057861	-84.839226
78.730774	-84.488754
79.403687	-84.976135
80.076599	-83.979584
80.749512	-80.751869
81.422424	-81.236366
82.095337	-82.388405
82.768250	-80.441696
83.441162	-77.266144
84.114075	-77.506760
84.786987	-78.640167
85.459900	-75.656517
86.132813	-78.614395
86.805725	-80.417923
87.478638	-78.829834
88.151550	-81.283600
88.824463	-83.341263
89.497375	-84.037186
90.170288	-84.506813
90.843201	-82.541069
91.516113	-79.986351
92.189026	-70.752762
92.861938	-79.245163
93.534851	-85.549316
94.207764	-87.722679
94.880676	-87.520683
95.553589	-85.983932
96.226501	-83.729561
96.899414	-88.949898
97.572327	-84.875450
98.245239	-83.850815
98.918152	-77.372719
99.591064	-77.838455
100.263977	-83.707008
100.936890	-83.743263
101.609802	-83.791847
102.282715	-86.210022
102.955627	-88.217140
103.628540	-88.738853
104.301453	-87.839294
104.974365	-83.952026
105.647278	-83.553154
106.320190	-83.028755
106.993103	-85.789360
107.666016	-86.458740
108.338928	-85.137299
109.011841	-88.146835
109.684753	-87.329109
110.357666	-86.371483
111.030579	-87.711983
111.703491	-86.096207
112.376404	-85.578392
113.049316	-88.425659
113.722229	-90.788628
114.395142	-87.549606
115.068054	-85.912178
115.740967	-88.747658
116.413879	-89.809608
117.086792	-86.743134
117.759705	-89.129173
118.432617	-88.081215
119.105530	-88.003784
119.778442	-87.250847
120.451355	-84.227928
121.124268	-85.306831
121.797180	-85.440132
122.470093	-84.155602
123.143005	-88.185562
123.815918	-87.452362
124.488831	-87.917847
125.161743	-86.247498
125.834656	-89.219231
126.507568	-87.446640
127.180481	-88.805573
127.853394	-89.165558
128.526306	-88.304100
129.199219	-89.155884
129.872131	-90.201340
130.545044	-89.022591
131.217957	-90.148232
131.890869	-86.049133
132.563782	-86.321175
133.236694	-86.980972
133.909607	-88.735291
134.582520	-85.459160
135.255432	-87.115044
135.928345	-85.891373
136.601257	-85.973961
137.274170	-86.702103
137.947083	-90.170547
138.619995	-83.693558
139.292908	-84.122475
139.965820	-85.389633
140.638733	-83.375534
141.311646	-83.984756
141.984558	-89.814934
142.657471	-89.059166
143.330383	-88.198357
144.003296	-88.020645
144.676208	-88.043129
145.349121	-85.738953
146.022034	-87.759544
146.694946	-85.494453
147.367859	-90.692986
148.040771	-87.460556
148.713684	-89.948448
149.386597	-81.990150
150.059509	-76.576096
150.732422	-85.443550
151.405334	-87.602257
152.078247	-86.181328
152.751160	-91.773766
153.424072	-90.055290
154.096985	-89.485764
154.769897	-88.684700
155.442810	-90.165321
156.115723	-89.886330
156.788635	-87.224274
157.461548	-91.443336
158.134460	-88.391174
158.807373	-88.521675
159.480286	-88.928551
160.153198	-86.423103
160.826111	-90.334053
161.499023	-88.569008
162.171936	-88.686630
162.844849	-89.218468
163.517761	-94.019768
164.190674	-92.782310
164.863586	-92.384789
165.536499	-87.602448
166.209412	-86.721733
166.882324	-89.916359
167.555237	-93.927071
168.228149	-89.325623
168.901062	-89.545929
169.573975	-86.766212
170.246887	-92.825005
170.919800	-92.455566
171.592712	-89.675812
172.265625	-86.302849
172.938538	-87.783737
173.611450	-89.366333
174.284363	-89.008324
174.957275	-86.856476
175.630188	-90.341255
176.303101	-89.323685
176.976013	-90.767220
177.648926	-89.307915
178.321838	-86.638245
178.994751	-88.177597
179.667664	-86.849724
180.340576	-89.824043
181.013489	-89.142540
181.686401	-88.373161
182.359314	-86.429764
183.032227	-86.884315
183.705139	-90.022034
184.378052	-85.149246
185.050964	-87.973145
185.723877	-87.335197
186.396790	-91.453979
187.069702	-92.023102
187.742615	-92.364067
188.415527	-91.213226
189.088440	-89.004524
189.761353	-89.369194
190.434265	-92.026421
191.107178	-90.479134
191.780090	-91.010353
192.453003	-87.953667
193.125916	-89.210716
193.798828	-87.376305
194.471741	-91.122673
195.144653	-88.620110
195.817566	-87.831116
196.490479	-91.996658
197.163391	-93.535034
197.836304	-86.016090
198.509216	-86.171303
199.182129	-89.532364
199.855042	-90.447227
200.527954	-88.545425
201.200867	-91.120514
201.873779	-89.709106
202.546692	-85.846863
203.219604	-87.533020
203.892517	-88.318260
204.565430	-90.905159
205.238342	-87.909447
205.911255	-87.961723
206.584167	-89.828949
207.257080	-89.235481
207.929993	-86.260033
208.602905	-89.298729
209.275818	-83.085564
209.948730	-87.400574
210.621643	-87.298103
211.294556	-86.954613
211.967468	-85.141083
212.640381	-89.252174
213.313293	-85.995697
213.986206	-86.061111
214.659119	-89.168228
215.332031	-89.265602
216.004944	-86.135040
216.677856	-86.163338
217.350769	-90.796410
218.023682	-87.798874
218.696594	-87.429092
219.369507	-87.969650
220.042419	-87.367661
220.715332	-87.972343
221.388245	-89.361885
222.061157	-90.867813
222.734070	-93.792854
223.406982	-87.232407
224.079895	-88.091499
224.752808	-90.149574
225.425720	-89.453773
226.098633	-88.566971
226.771545	-88.609398
227.444458	-89.347061
228.117371	-88.113129
228.790283	-84.524521
229.463196	-89.588867
230.136108	-91.875969
230.809021	-87.193512
231.481934	-93.407600
232.154846	-89.313828
232.827759	-87.471199
233.500671	-88.394470
234.173584	-91.838509
234.846497	-91.266304
235.519409	-89.080124
236.192322	-89.730469
236.865234	-84.266136
237.538147	-91.490044
238.211060	-88.756119
238.883972	-85.880363
239.556885	-88.435318
240.229797	-85.201973
240.902710	-87.281830
241.575623	-86.957962
242.248535	-87.285606
242.921448	-89.580154
243.594360	-86.120148
244.267273	-88.733902
244.940186	-87.713768
245.613098	-87.408783
246.286011	-84.460548
246.958923	-85.464760
247.631836	-85.231377
248.304749	-85.816299
248.977661	-90.073792
249.650574	-85.144470
250.323486	-88.622635
250.996399	-86.320656
251.669312	-86.280495
252.342224	-85.433853
253.015137	-86.257736
253.688049	-85.205750
254.360962	-83.327278
255.033875	-81.167374
255.706787	-80.243752
256.379700	-81.861389
257.052612	-82.564377
257.725525	-84.564362
258.398438	-81.318047
259.071350	-85.223976
259.744263	-85.934067
260.417175	-83.542854
261.090088	-79.510681
261.763000	-79.030334
262.435913	-82.134537
263.108826	-83.078087
263.781738	-83.127029
264.454651	-81.670837
265.127563	-82.177078
265.800476	-80.964874
266.473389	-81.324661
267.146301	-81.736679
267.819214	-78.707916
268.492126	-80.223091
269.165039	-79.555260
269.837952	-79.053352
270.510864	-77.459122
271.183777	-77.275238
271.856689	-79.728294
272.529602	-75.604836
273.202515	-78.082191
273.875427	-77.661491
274.548340	-76.760704
275.221252	-77.036118
275.894165	-75.799782
276.567078	-76.492805
277.239990	-73.655128
277.912903	-76.790459
278.585815	-74.543549
279.258728	-72.682564
279.931641	-75.402809
280.604553	-71.306442
281.277466	-72.345886
281.950378	-71.815002
282.623291	-67.482979
283.296204	-70.781372
283.969116	-69.525505
284.642029	-67.241982
285.314941	-67.379532
285.987854	-65.642891
286.660767	-69.130951
287.333679	-63.643864
288.006592	-65.143990
288.679504	-63.776562
289.352417	-55.967453
290.025330	-56.598049
290.698242	-59.897827
291.371155	-56.359516
292.044067	-56.632507
292.716980	-54.114075
293.389893	-56.078747
294.062805	-55.255375
294.735718	-52.917896
295.408630	-50.591473
296.081543	-49.136333
296.754456	-46.677959
297.427368	-46.066223
298.100281	-42.393269
298.773193	-32.729923
299.446106	-28.220585
300.119019	-16.032516
300.791931	-6.795654
301.464844	-4.496668
302.137756	-5.318182
302.810669	-13.769130
303.483582	-25.696310
304.156494	-32.735226
304.829407	-39.083652
305.502319	-39.982800
306.175232	-43.490623
306.848145	-47.250092
307.521057	-48.928596
308.193970	-52.370533
308.866882	-50.928356
309.539795	-54.007610
310.212708	-55.100578
310.885620	-59.858799
311.558533	-54.484673
312.231445	-53.796745
312.904358	-58.656620
313.577271	-59.129200
314.250183	-61.106819
314.923096	-64.403191
315.596008	-64.648621
316.268921	-65.817986
316.941833	-65.209320
317.614746	-65.493835
318.287659	-65.858116
318.960571	-67.173820
319.633484	-68.717743
320.306396	-72.166191
320.979309	-70.959923
321.652222	-70.991722
322.325134	-72.431763
322.998047	-73.703339
323.670959	-73.462242
324.343872	-72.518349
325.016785	-74.798965
325.689697	-74.042389
326.362610	-77.082291
327.035522	-76.251122
327.708435	-75.551712
328.381348	-75.915489
329.054260	-77.460434
329.727173	-77.701004
330.400085	-79.383369
331.072998	-77.507637
331.745911	-76.439034
332.418823	-75.929337
333.091736	-79.460121
333.764648	-80.009903
334.437561	-80.310341
335.110474	-80.252724
335.783386	-81.969559
336.456299	-80.553711
337.129211	-80.127106
337.802124	-82.139824
338.475037	-81.980568
339.147949	-82.801811
339.820862	-83.237251
340.493774	-81.484406
341.166687	-81.345192
341.839600	-79.173492
342.512512	-83.080612
343.185425	-81.354340
343.858337	-82.578423
344.531250	-84.376884
345.204163	-83.003983
345.877075	-83.785950
346.549988	-84.005661
347.222900	-82.910812
347.895813	-79.320862
348.568726	-84.912712
349.241638	-84.978569
349.914551	-87.266876
350.587463	-85.824776
351.260376	-84.103508
351.933289	-85.944420
352.606201	-86.254135
353.279114	-86.483162
353.952026	-89.511398
354.624939	-86.216568
355.297852	-89.989143
355.970764	-85.783043
356.643677	-89.091888
357.316589	-87.808632
357.989502	-90.308899
358.662415	-89.008530
359.335327	-88.233490
360.008240	-85.535629
360.681152	-87.978157
361.354065	-89.287888
362.026978	-87.869957
362.699890	-88.660469
363.372803	-88.761063
364.045715	-87.691528
364.718628	-87.217728
365.391541	-90.625435
366.064453	-89.982300
366.737366	-91.329124
367.410278	-89.100372
368.083191	-88.513573
368.756104	-88.527672
369.429016	-88.276985
370.101929	-88.082352
370.774841	-93.014771
371.447754	-92.303688
372.120667	-88.079231
372.793579	-88.709694
373.466492	-91.649063
374.139404	-90.027550
374.812317	-91.944321
375.485229	-90.160225
376.158142	-90.404305
376.831055	-90.373131
377.503967	-92.944023
378.176880	-90.081581
378.849792	-90.958878
379.522705	-93.167465
380.195618	-90.396233
380.868530	-92.918488
381.541443	-89.348694
382.214355	-90.453453
382.887268	-89.843208
383.560181	-91.757729
384.233093	-95.209129
384.906006	-89.362900
385.578918	-88.740196
386.251831	-92.265923
