Frequency (Hz)	Level (dB)
0.672913	-95.359245
1.345825	-91.919174
2.018738	-85.430992
2.691650	-86.957100
3.364563	-80.597771
4.037476	-77.884224
4.710388	-77.481407
5.383301	-77.720116
6.056213	-75.385864
6.729126	-70.441933
7.402039	-67.085052
8.074951	-60.054768
8.747864	-51.185291
9.420776	-56.387169
10.093689	-58.892506
10.766602	-57.565639
11.439514	-57.364887
12.112427	-61.542358
12.785339	-63.814247
13.458252	-63.716999
14.131165	-67.501907
14.804077	-70.111809
15.476990	-70.443726
16.149902	-78.101105
16.822815	-76.375977
17.495728	-74.811729
18.168640	-72.085182
18.841553	-76.503212
19.514465	-74.068733
20.187378	-77.425682
20.860291	-76.634308
21.533203	-79.084877
22.206116	-73.092323
22.879028	-78.247047
23.551941	-77.089188
24.224854	-70.531639
24.897766	-74.958893
25.570679	-74.946854
26.243591	-73.221222
26.916504	-70.081810
27.589417	-67.742516
28.262329	-75.875435
28.935242	-74.290337
29.608154	-72.518387
30.281067	-77.806969
30.953979	-80.125229
31.626892	-80.755051
32.299805	-78.477615
32.972717	-78.787033
33.645630	-75.507347
34.318542	-78.141823
34.991455	-78.451515
35.664368	-81.095726
36.337280	-79.919128
37.010193	-75.534096
37.683105	-72.793396
38.356018	-71.542564
39.028931	-73.590401
39.701843	-76.025116
40.374756	-70.532990
41.047668	-67.753250
41.720581	-75.168076
42.393494	-76.859802
43.066406	-75.522346
43.739319	-75.230316
44.412231	-70.163429
45.085144	-64.996857
45.758057	-55.183990
46.430969	-55.888737
47.103882	-68.213570
47.776794	-75.920319
48.449707	-76.477074
49.122620	-72.469849
49.795532	-65.786179
50.468445	-69.329834
51.141357	-82.475929
51.814270	-79.649689
52.487183	-76.664185
53.160095	-83.786049
53.833008	-81.806297
54.505920	-84.247871
55.178833	-81.679581
55.851746	-82.790054
56.524658	-77.917389
57.197571	-81.261513
57.870483	-79.324020
58.543396	-78.230934
59.216309	-81.279274
59.889221	-78.900536
60.562134	-79.462280
61.235046	-75.270676
61.907959	-78.244751
62.580872	-77.968193
63.253784	-81.258064
63.926697	-81.482841
64.599609	-84.995811
65.272522	-80.385803
65.945435	-79.116653
66.618347	-79.867722
67.291260	-75.805267
67.964172	-78.046402
68.637085	-80.378441
69.309998	-82.932961
69.982910	-80.009995
70.655823	-86.620132
71.328735	-82.954041
72.001648	-80.100456
72.674561	-83.014503
73.347473	-85.165848
74.020386	-79.526077
74.693298	-79.154076
75.366211	-79.268059
76.039124	-80.195969
76.712036	-80.522232
77.384949	-77.590836
78.057861	-79.260162
78.730774	-80.930626
79.403687	-79.256332
80.076599	-79.914917
80.749512	-83.130531
81.422424	-81.445541
82.095337	-79.795113
82.768250	-77.669868
83.441162	-73.906693
84.114075	-77.958260
84.786987	-77.474121
85.459900	-77.517929
86.132813	-76.480591
86.805725	-79.393379
87.478638	-78.226479
88.151550	-76.760132
88.824463	-80.488594
89.497375	-79.034126
90.170288	-80.540573
90.843201	-79.702026
91.516113	-81.274910
92.189026	-78.489006
92.861938	-78.733467
93.534851	-80.688812
94.207764	-81.650284
94.880676	-79.585274
95.553589	-78.863884
96.226501	-80.007988
96.899414	-78.521866
97.572327	-83.120636
98.245239	-81.939003
98.918152	-76.810051
99.591064	-76.266968
100.263977	-81.688797
100.936890	-79.523979
101.609802	-79.460884
102.282715	-80.108192
102.955627	-82.105255
103.628540	-78.458138
104.301453	-79.585922
104.974365	-80.620369
105.647278	-82.352943
106.320190	-77.749519
106.993103	-78.625923
107.666016	-78.119576
108.338928	-78.815712
109.011841	-79.671242
109.684753	-81.916946
110.357666	-80.289452
111.030579	-76.571144
111.703491	-76.990639
112.376404	-81.861275
113.049316	-80.100609
113.722229	-78.791306
114.395142	-77.393784
115.068054	-77.357918
115.740967	-79.808716
116.413879	-80.795807
117.086792	-77.118790
117.759705	-77.103584
118.432617	-82.919380
119.105530	-80.996185
119.778442	-79.620857
120.451355	-83.213409
121.124268	-83.244576
121.797180	-78.839706
122.470093	-78.821861
123.143005	-79.065247
123.815918	-78.164879
124.488831	-79.977875
125.161743	-81.409973
125.834656	-81.276100
126.507568	-79.306252
127.180481	-80.966225
127.853394	-89.477554
128.526306	-80.603050
129.199219	-80.963890
129.872131	-79.103958
130.545044	-79.630318
131.217957	-81.684998
131.890869	-80.284492
132.563782	-80.221214
133.236694	-79.512825
133.909607	-84.544830
134.582520	-80.157501
135.255432	-81.696548
135.928345	-81.221481
136.601257	-81.595261
137.274170	-82.415581
137.947083	-74.950104
138.619995	-79.495506
139.292908	-80.927689
139.965820	-81.116402
140.638733	-81.116524
141.311646	-80.760582
141.984558	-78.558357
142.657471	-81.394218
143.330383	-80.918243
144.003296	-82.655151
144.676208	-82.443344
145.349121	-80.097130
146.022034	-81.438301
146.694946	-86.413322
147.367859	-82.693123
148.040771	-81.602577
148.713684	-75.111435
149.386597	-75.514198
150.059509	-77.754395
150.732422	-80.788322
151.405334	-82.051750
152.078247	-82.482277
152.751160	-80.977188
153.424072	-86.564194
154.096985	-82.982529
154.769897	-86.192970
155.442810	-78.628693
156.115723	-81.011948
156.788635	-81.558228
157.461548	-82.498070
158.134460	-84.077667
158.807373	-82.587036
159.480286	-80.752800
160.153198	-84.643326
160.826111	-84.637398
161.499023	-84.996773
162.171936	-81.385811
162.844849	-82.721481
163.517761	-79.178032
164.190674	-82.795341
164.863586	-84.171089
165.536499	-81.838676
166.209412	-79.457710
166.882324	-78.620735
167.555237	-83.892647
168.228149	-84.430801
168.901062	-82.225334
169.573975	-80.979065
170.246887	-79.767052
170.919800	-83.915222
171.592712	-77.759972
172.265625	-85.190186
172.938538	-88.259995
173.611450	-85.291557
174.284363	-84.528313
174.957275	-82.411629
175.630188	-83.035309
176.303101	-84.720215
176.976013	-84.294426
177.648926	-80.840645
178.321838	-81.401619
178.994751	-80.877487
179.667664	-83.576515
180.340576	-85.014137
181.013489	-83.580048
181.686401	-80.894844
182.359314	-80.433838
183.032227	-80.968155
183.705139	-80.822517
184.378052	-82.475075
185.050964	-79.827774
185.723877	-78.516907
186.396790	-79.092850
187.069702	-80.236427
187.742615	-80.611633
188.415527	-81.329704
189.088440	-77.260452
189.761353	-75.832268
190.434265	-80.570259
191.107178	-81.149612
191.780090	-78.777061
192.453003	-81.331947
193.125916	-79.150261
193.798828	-79.408371
194.471741	-78.314110
195.144653	-82.106384
195.817566	-80.408516
196.490479	-80.633018
197.163391	-79.278206
197.836304	-84.358650
198.509216	-80.985825
199.182129	-81.166306
199.855042	-78.593636
200.527954	-79.648354
201.200867	-80.257263
201.873779	-77.791496
202.546692	-80.259186
203.219604	-80.861191
203.892517	-78.602730
204.565430	-80.403786
205.238342	-79.111046
205.911255	-79.259224
206.584167	-79.703156
207.257080	-80.572647
207.929993	-79.070320
208.602905	-81.331604
209.275818	-78.585716
209.948730	-78.896629
210.621643	-76.700104
