Frequency (Hz)	Level (dB)
0.672913	-90.630905
1.345825	-80.993294
2.018738	-78.386940
2.691650	-81.147995
3.364563	-76.620674
4.037476	-73.505798
4.710388	-72.627983
5.383301	-73.160355
6.056213	-68.004074
6.729126	-63.384422
7.402039	-68.617126
8.074951	-54.020531
8.747864	-49.987091
9.420776	-55.621078
10.093689	-58.698399
10.766602	-54.812027
11.439514	-54.394257
12.112427	-61.600311
12.785339	-59.747375
13.458252	-58.954819
14.131165	-67.710640
14.804077	-67.031563
15.476990	-59.880169
16.149902	-69.401421
16.822815	-72.891235
17.495728	-62.362289
18.168640	-64.901939
18.841553	-71.028893
19.514465	-68.606995
20.187378	-67.523216
20.860291	-75.488937
21.533203	-74.500137
22.206116	-71.620491
22.879028	-79.639442
23.551941	-74.582855
24.224854	-70.895760
24.897766	-71.951584
25.570679	-73.280304
26.243591	-72.243973
26.916504	-68.216629
27.589417	-74.370361
28.262329	-77.674500
28.935242	-75.251572
29.608154	-70.049065
30.281067	-71.437561
30.953979	-75.026703
31.626892	-76.453735
32.299805	-78.755272
32.972717	-76.876617
33.645630	-79.381149
34.318542	-77.384827
34.991455	-80.156158
35.664368	-75.657906
36.337280	-73.260406
37.010193	-76.212715
37.683105	-77.014053
38.356018	-76.935913
39.028931	-75.467560
39.701843	-69.729561
40.374756	-70.446289
41.047668	-69.344810
41.720581	-81.699745
42.393494	-75.871155
43.066406	-76.849800
43.739319	-77.051430
44.412231	-70.989143
45.085144	-64.839653
45.758057	-53.615932
46.430969	-53.822651
47.103882	-67.195892
47.776794	-74.985565
48.449707	-79.173050
49.122620	-73.894745
49.795532	-67.016502
50.468445	-69.945351
51.141357	-79.051010
51.814270	-77.725037
52.487183	-79.692856
53.160095	-83.154198
53.833008	-82.456703
54.505920	-84.329811
55.178833	-83.245705
55.851746	-82.810165
56.524658	-79.067612
57.197571	-81.227989
57.870483	-80.541252
58.543396	-80.522072
59.216309	-81.640114
59.889221	-80.518517
60.562134	-79.762535
61.235046	-75.664871
61.907959	-80.049530
62.580872	-80.749985
63.253784	-81.558861
63.926697	-82.164772
64.599609	-83.455101
