Frequency (Hz)	Level (dB)
0.672913	-93.827965
1.345825	-91.553535
2.018738	-87.503525
2.691650	-85.521126
3.364563	-76.619682
4.037476	-70.857239
4.710388	-70.220184
5.383301	-66.937202
6.056213	-67.747284
6.729126	-66.761032
7.402039	-58.703316
8.074951	-55.937096
8.747864	-51.977566
9.420776	-54.277863
10.093689	-57.682232
10.766602	-58.821590
11.439514	-59.723221
12.112427	-61.507011
12.785339	-61.411472
13.458252	-63.319386
14.131165	-70.115143
14.804077	-70.611061
15.476990	-67.110580
16.149902	-68.937592
16.822815	-68.091728
17.495728	-67.643204
18.168640	-69.821983
18.841553	-69.576172
19.514465	-71.102257
20.187378	-72.416588
20.860291	-73.542114
21.533203	-73.752541
22.206116	-73.486977
22.879028	-71.966530
23.551941	-73.117699
24.224854	-71.391823
24.897766	-76.969582
25.570679	-76.159218
26.243591	-73.908371
26.916504	-72.538406
27.589417	-71.681107
28.262329	-76.636406
28.935242	-73.822090
29.608154	-78.113045
30.281067	-74.651924
30.953979	-78.690536
31.626892	-78.691658
32.299805	-78.778862
32.972717	-80.569305
33.645630	-75.997025
34.318542	-74.858765
34.991455	-77.496750
35.664368	-76.157028
36.337280	-74.781990
37.010193	-74.156822
37.683105	-76.232605
38.356018	-78.069771
39.028931	-77.422401
39.701843	-75.561790
40.374756	-70.628304
41.047668	-67.945038
41.720581	-78.942276
42.393494	-78.135986
43.066406	-77.921989
43.739319	-78.186363
44.412231	-77.709442
45.085144	-72.388336
45.758057	-65.363998
46.430969	-66.613960
47.103882	-78.272888
47.776794	-78.451027
48.449707	-79.888374
49.122620	-77.856644
49.795532	-63.979744
50.468445	-67.170670
51.141357	-78.943146
51.814270	-80.687141
52.487183	-82.255013
53.160095	-78.395737
53.833008	-81.094894
54.505920	-82.711578
55.178833	-82.785873
55.851746	-84.076660
56.524658	-81.632629
57.197571	-83.007202
57.870483	-80.434387
58.543396	-80.813332
59.216309	-84.043373
59.889221	-79.958321
60.562134	-75.961334
61.235046	-70.709946
61.907959	-77.647789
62.580872	-82.187057
63.253784	-82.325150
63.926697	-80.240082
64.599609	-80.532570
65.272522	-84.807083
65.945435	-84.572769
66.618347	-81.192215
67.291260	-82.297935
67.964172	-83.994675
68.637085	-84.334778
69.309998	-89.042435
69.982910	-84.349762
70.655823	-84.840385
71.328735	-86.173225
72.001648	-82.990799
72.674561	-84.893188
73.347473	-80.079208
74.020386	-85.169708
74.693298	-83.417847
75.366211	-85.229538
76.039124	-84.244530
76.712036	-87.690895
77.384949	-83.811836
78.057861	-88.763222
78.730774	-86.835175
79.403687	-84.245705
80.076599	-84.636292
80.749512	-84.412735
81.422424	-79.247032
82.095337	-79.569183
82.768250	-84.513382
83.441162	-80.532906
84.114075	-76.084946
84.786987	-76.029503
85.459900	-77.653397
86.132813	-81.663826
86.805725	-79.901604
87.478638	-82.847214
88.151550	-81.623711
88.824463	-83.719032
89.497375	-80.236153
90.170288	-81.197853
90.843201	-79.496399
91.516113	-77.637978
92.189026	-71.599861
92.861938	-76.351730
