Frequency (Hz)	Level (dB)
0.672913	-86.817818
1.345825	-87.549728
2.018738	-81.951118
2.691650	-79.281563
3.364563	-74.712212
4.037476	-73.043839
4.710388	-69.259476
5.383301	-61.439079
6.056213	-61.173145
6.729126	-55.641132
7.402039	-54.022045
8.074951	-50.478783
8.747864	-43.919369
9.420776	-50.683575
10.093689	-56.973938
10.766602	-53.964828
11.439514	-56.310474
12.112427	-68.643349
12.785339	-57.043091
13.458252	-54.485889
14.131165	-65.051056
14.804077	-65.364967
15.476990	-57.660637
16.149902	-62.306782
16.822815	-65.443596
17.495728	-59.146896
18.168640	-62.694199
18.841553	-71.596046
19.514465	-64.547363
20.187378	-65.246269
20.860291	-70.355865
21.533203	-70.665115
22.206116	-66.251541
22.879028	-71.784653
23.551941	-74.162720
24.224854	-67.143845
24.897766	-69.831848
25.570679	-71.972923
26.243591	-72.211563
26.916504	-66.078362
27.589417	-64.189812
28.262329	-72.520798
28.935242	-71.150909
29.608154	-69.858925
30.281067	-72.605164
30.953979	-71.247742
31.626892	-73.398712
32.299805	-72.008759
32.972717	-69.896362
33.645630	-73.640800
34.318542	-76.077904
34.991455	-79.299843
35.664368	-74.087341
36.337280	-73.366058
37.010193	-78.687401
37.683105	-75.387505
38.356018	-75.586266
39.028931	-75.410172
39.701843	-76.988396
40.374756	-68.945305
41.047668	-66.347824
41.720581	-76.580963
42.393494	-80.227005
43.066406	-79.043236
43.739319	-76.638725
44.412231	-71.867645
45.085144	-62.128258
45.758057	-52.799324
46.430969	-53.237511
47.103882	-69.301582
47.776794	-70.516792
48.449707	-74.351540
49.122620	-74.882652
49.795532	-66.063614
50.468445	-69.988602
51.141357	-77.702950
51.814270	-82.418396
52.487183	-79.934357
53.160095	-76.196198
53.833008	-78.833275
54.505920	-81.281746
55.178833	-81.302856
55.851746	-81.255287
56.524658	-79.465202
57.197571	-82.779808
57.870483	-81.631279
58.543396	-82.231651
59.216309	-84.026207
59.889221	-88.543709
60.562134	-90.141533
61.235046	-81.506989
61.907959	-82.733795
62.580872	-82.708931
63.253784	-83.122284
63.926697	-79.810349
64.599609	-79.876335
65.272522	-80.168938
65.945435	-78.334465
66.618347	-82.907677
67.291260	-82.718277
67.964172	-81.241302
68.637085	-87.217285
69.309998	-83.771111
69.982910	-82.766632
70.655823	-86.711365
71.328735	-83.636490
72.001648	-83.971184
72.674561	-80.182884
73.347473	-81.108055
74.020386	-80.178497
74.693298	-82.166901
75.366211	-83.367462
76.039124	-81.583565
76.712036	-80.473717
77.384949	-81.881165
78.057861	-83.273178
78.730774	-80.745728
79.403687	-81.127800
80.076599	-82.731682
80.749512	-82.605904
81.422424	-80.459900
82.095337	-82.690094
82.768250	-83.269577
83.441162	-84.943832
84.114075	-83.183426
84.786987	-82.202080
85.459900	-85.176193
86.132813	-88.167053
86.805725	-83.280869
87.478638	-84.052513
88.151550	-87.470917
88.824463	-88.273605
89.497375	-83.928474
90.170288	-85.613846
90.843201	-83.904053
91.516113	-82.560593
92.189026	-80.502029
92.861938	-83.698532
93.534851	-81.521416
94.207764	-83.217728
94.880676	-85.686249
95.553589	-81.085266
96.226501	-81.093254
96.899414	-85.388611
97.572327	-82.080383
98.245239	-83.330673
98.918152	-80.589088
99.591064	-82.989960
100.263977	-82.436432
100.936890	-86.836327
101.609802	-87.261459
102.282715	-87.470306
102.955627	-90.467369
103.628540	-85.312103
104.301453	-84.874870
104.974365	-86.331390
105.647278	-88.035721
106.320190	-86.125137
106.993103	-82.493347
107.666016	-82.673233
108.338928	-85.045822
109.011841	-86.627266
109.684753	-85.595703
110.357666	-82.916008
111.030579	-84.491211
111.703491	-87.207520
112.376404	-87.269951
113.049316	-91.550644
113.722229	-86.642670
114.395142	-87.652847
115.068054	-85.095749
115.740967	-84.555626
116.413879	-86.269470
117.086792	-83.411919
117.759705	-84.943169
118.432617	-84.060455
119.105530	-85.533348
119.778442	-85.937149
120.451355	-87.282600
121.124268	-87.629532
121.797180	-83.149033
122.470093	-81.994240
123.143005	-86.278175
123.815918	-89.373451
124.488831	-85.067665
125.161743	-89.672340
125.834656	-92.590668
126.507568	-87.251915
127.180481	-86.607536
127.853394	-85.579277
128.526306	-84.071236
129.199219	-83.596016
129.872131	-87.148598
130.545044	-90.443390
131.217957	-85.906059
131.890869	-87.720108
132.563782	-86.487495
133.236694	-84.222664
133.909607	-86.150146
134.582520	-88.084267
135.255432	-85.067665
135.928345	-87.422791
136.601257	-87.639198
137.274170	-88.247192
137.947083	-79.950874
138.619995	-77.119827
139.292908	-82.297638
139.965820	-84.873466
140.638733	-81.824165
141.311646	-84.599838
141.984558	-84.798798
142.657471	-85.532532
143.330383	-89.449623
144.003296	-86.563049
144.676208	-87.736763
145.349121	-86.823227
146.022034	-83.641632
146.694946	-83.197586
147.367859	-88.266724
148.040771	-85.560547
148.713684	-80.565254
149.386597	-80.690842
150.059509	-76.278770
150.732422	-85.645988
151.405334	-84.617821
152.078247	-85.060135
152.751160	-88.251221
153.424072	-88.357109
154.096985	-88.561668
154.769897	-85.493622
155.442810	-85.708870
156.115723	-86.916176
156.788635	-85.507553
157.461548	-83.227264
158.134460	-84.183601
158.807373	-86.234612
159.480286	-89.236549
160.153198	-86.328362
160.826111	-88.698227
161.499023	-85.446693
162.171936	-86.310524
162.844849	-85.646332
163.517761	-85.480049
164.190674	-85.827209
164.863586	-86.295830
165.536499	-86.573044
166.209412	-89.573570
166.882324	-87.856750
167.555237	-86.758812
168.228149	-88.699913
168.901062	-89.869560
169.573975	-90.188217
170.246887	-86.918320
170.919800	-87.440689
171.592712	-88.403496
172.265625	-87.685509
172.938538	-87.845909
173.611450	-87.345757
174.284363	-86.517960
174.957275	-88.206810
175.630188	-83.521698
176.303101	-83.739189
176.976013	-86.047432
177.648926	-89.059761
178.321838	-89.785530
