Frequency (Hz)	Level (dB)
0.672913	-93.739983
1.345825	-96.498810
2.018738	-87.708633
2.691650	-88.332047
3.364563	-83.500183
4.037476	-78.276939
4.710388	-76.697426
5.383301	-76.998833
6.056213	-77.038483
6.729126	-70.796288
7.402039	-67.415810
8.074951	-60.681454
8.747864	-50.888794
9.420776	-57.895149
10.093689	-57.483261
10.766602	-56.462101
11.439514	-58.603107
12.112427	-63.759747
12.785339	-64.212273
13.458252	-63.791595
14.131165	-69.417000
14.804077	-71.304291
15.476990	-69.017906
16.149902	-77.197975
16.822815	-74.370041
17.495728	-73.539886
18.168640	-73.669075
18.841553	-74.901581
19.514465	-71.816368
20.187378	-77.330719
20.860291	-75.719345
21.533203	-76.937950
22.206116	-75.765221
22.879028	-77.577980
23.551941	-77.831223
24.224854	-73.259499
24.897766	-74.378319
25.570679	-78.364784
26.243591	-74.555367
26.916504	-71.286911
27.589417	-67.777184
28.262329	-74.129456
28.935242	-74.343025
29.608154	-71.310249
30.281067	-73.587402
30.953979	-72.562096
31.626892	-76.063110
32.299805	-77.403809
32.972717	-76.657600
33.645630	-72.479813
34.318542	-74.993423
34.991455	-78.413216
35.664368	-71.454613
36.337280	-71.119049
37.010193	-63.097786
37.683105	-54.530529
38.356018	-49.163208
39.028931	-50.519245
39.701843	-52.591312
40.374756	-51.428810
41.047668	-55.081120
41.720581	-58.207962
42.393494	-57.363228
43.066406	-59.952385
43.739319	-59.326553
44.412231	-57.222324
45.085144	-52.030643
45.758057	-51.358402
46.430969	-54.154335
47.103882	-58.989010
47.776794	-60.034706
48.449707	-59.862339
49.122620	-62.365051
49.795532	-64.919724
50.468445	-65.755692
51.141357	-66.334335
51.814270	-65.322128
52.487183	-65.702682
53.160095	-70.085915
53.833008	-76.260246
54.505920	-78.178009
55.178833	-79.378632
55.851746	-70.311798
56.524658	-69.201103
57.197571	-72.771088
57.870483	-69.438606
58.543396	-70.145782
59.216309	-75.871216
59.889221	-72.855728
60.562134	-75.552834
61.235046	-75.567299
61.907959	-81.017372
62.580872	-82.057320
63.253784	-81.587128
63.926697	-78.414268
64.599609	-82.536819
65.272522	-79.329994
65.945435	-79.341270
66.618347	-81.501701
67.291260	-80.805092
67.964172	-81.658272
68.637085	-78.374138
69.309998	-80.013329
69.982910	-81.911316
70.655823	-84.490768
71.328735	-81.033051
72.001648	-77.112473
72.674561	-75.372978
73.347473	-77.316238
74.020386	-80.555283
74.693298	-78.506523
75.366211	-81.949432
76.039124	-81.541344
76.712036	-81.472801
77.384949	-79.825676
78.057861	-85.900497
78.730774	-81.285751
79.403687	-79.047531
80.076599	-79.498909
80.749512	-83.748894
81.422424	-79.764465
82.095337	-77.462608
82.768250	-79.684135
83.441162	-78.774246
84.114075	-75.416199
84.786987	-75.603699
85.459900	-75.698952
86.132813	-73.526176
86.805725	-72.150108
87.478638	-69.796219
88.151550	-73.297821
88.824463	-73.396896
89.497375	-73.751038
90.170288	-75.185165
90.843201	-72.768150
91.516113	-72.642769
92.189026	-73.270706
92.861938	-76.123787
93.534851	-79.234062
94.207764	-75.598015
94.880676	-75.905403
95.553589	-77.794052
96.226501	-79.222282
96.899414	-81.190773
97.572327	-82.149178
98.245239	-79.786087
98.918152	-77.861107
99.591064	-79.804344
100.263977	-75.630577
100.936890	-79.973000
101.609802	-81.060081
102.282715	-83.034241
102.955627	-80.300598
103.628540	-83.570099
104.301453	-84.651955
104.974365	-83.293358
105.647278	-82.892349
106.320190	-82.101616
106.993103	-81.762756
107.666016	-82.376663
108.338928	-80.011703
109.011841	-81.106903
109.684753	-85.524475
110.357666	-85.042145
111.030579	-80.720184
111.703491	-80.230736
112.376404	-79.489433
113.049316	-84.033302
113.722229	-80.769218
114.395142	-79.210144
115.068054	-80.800537
115.740967	-79.451607
116.413879	-79.147545
117.086792	-81.445854
117.759705	-82.466049
118.432617	-81.902893
119.105530	-80.809334
119.778442	-82.267235
120.451355	-86.097885
121.124268	-80.707428
121.797180	-83.543251
122.470093	-84.592583
123.143005	-83.303131
123.815918	-85.096382
124.488831	-80.616196
125.161743	-80.729897
125.834656	-84.887093
126.507568	-85.703522
127.180481	-84.245346
127.853394	-83.333778
128.526306	-82.861061
129.199219	-80.626633
129.872131	-83.535156
130.545044	-83.366096
131.217957	-83.536613
131.890869	-83.233032
132.563782	-81.880058
133.236694	-81.213501
133.909607	-79.288864
134.582520	-84.128853
135.255432	-83.602783
135.928345	-86.873077
136.601257	-81.364296
137.274170	-82.004822
137.947083	-77.319206
138.619995	-80.619263
139.292908	-82.772224
139.965820	-84.417671
140.638733	-83.923996
141.311646	-80.313179
141.984558	-82.626572
142.657471	-84.125702
143.330383	-85.269409
144.003296	-83.512047
144.676208	-84.485420
145.349121	-85.059669
146.022034	-84.068275
146.694946	-88.536476
147.367859	-89.980003
148.040771	-82.737427
148.713684	-80.016289
149.386597	-77.449318
150.059509	-74.211372
150.732422	-83.388565
151.405334	-85.072525
152.078247	-84.340134
152.751160	-82.115364
153.424072	-82.810875
154.096985	-82.631447
154.769897	-82.462852
155.442810	-82.755341
156.115723	-84.820282
156.788635	-83.401421
157.461548	-84.426201
158.134460	-82.376190
158.807373	-85.437294
159.480286	-84.959770
160.153198	-83.976456
160.826111	-84.894012
161.499023	-85.721581
162.171936	-85.099709
162.844849	-85.659302
163.517761	-83.158600
164.190674	-86.829887
164.863586	-85.721344
165.536499	-82.899590
166.209412	-81.752304
166.882324	-85.366295
167.555237	-86.311081
168.228149	-85.692955
168.901062	-81.622742
169.573975	-83.174232
170.246887	-83.812492
170.919800	-85.735138
171.592712	-86.897934
172.265625	-82.563278
172.938538	-82.048805
173.611450	-84.340706
174.284363	-85.120949
174.957275	-85.264381
175.630188	-83.812202
176.303101	-84.858490
176.976013	-86.102203
177.648926	-85.584183
178.321838	-84.119743
178.994751	-81.847763
179.667664	-82.001472
180.340576	-86.049843
181.013489	-86.960876
181.686401	-81.593788
182.359314	-80.933365
183.032227	-86.046143
183.705139	-85.128166
184.378052	-83.317703
185.050964	-88.249535
185.723877	-84.748428
186.396790	-83.216217
187.069702	-82.895592
