Frequency (Hz)	Level (dB)
0.672913	-92.123428
1.345825	-89.030113
2.018738	-82.352798
2.691650	-79.361130
3.364563	-73.224625
4.037476	-68.254852
4.710388	-68.238411
5.383301	-61.435127
6.056213	-58.087013
6.729126	-53.057713
7.402039	-50.537083
8.074951	-50.338558
8.747864	-47.004387
9.420776	-51.516750
10.093689	-58.170876
10.766602	-55.801739
11.439514	-57.620651
12.112427	-63.700706
12.785339	-58.366234
13.458252	-56.365963
14.131165	-62.341202
14.804077	-63.279499
15.476990	-56.542515
16.149902	-60.848106
16.822815	-64.967628
17.495728	-59.800495
18.168640	-63.364594
18.841553	-71.702820
19.514465	-61.891533
20.187378	-61.644783
20.860291	-70.532867
21.533203	-72.728607
22.206116	-67.978951
22.879028	-70.534653
23.551941	-70.068161
24.224854	-66.067589
24.897766	-71.619576
25.570679	-71.561317
26.243591	-70.376915
26.916504	-74.536018
27.589417	-74.826195
28.262329	-70.948074
28.935242	-70.650993
29.608154	-70.641502
30.281067	-72.447922
30.953979	-74.263260
31.626892	-73.519279
32.299805	-71.334160
32.972717	-72.204063
33.645630	-75.154701
34.318542	-75.520332
34.991455	-79.494453
35.664368	-76.438965
36.337280	-77.069206
37.010193	-79.787216
37.683105	-77.197357
38.356018	-77.415405
39.028931	-78.111580
39.701843	-77.876709
40.374756	-71.676620
41.047668	-68.247719
41.720581	-76.223503
42.393494	-75.827988
43.066406	-78.184601
43.739319	-75.234779
44.412231	-74.747429
45.085144	-76.220520
45.758057	-63.640102
46.430969	-62.440811
47.103882	-74.570030
47.776794	-78.737137
48.449707	-78.185684
49.122620	-77.891525
49.795532	-65.684128
50.468445	-69.310394
51.141357	-79.597588
51.814270	-80.870018
52.487183	-78.469368
53.160095	-79.429436
53.833008	-81.712967
54.505920	-80.397278
55.178833	-82.864708
55.851746	-85.189346
56.524658	-80.895020
57.197571	-83.204407
57.870483	-83.990356
58.543396	-82.797615
59.216309	-88.055130
59.889221	-85.748329
60.562134	-82.085808
61.235046	-73.897530
61.907959	-79.779961
62.580872	-83.830910
63.253784	-83.479355
63.926697	-83.669083
64.599609	-83.874802
65.272522	-82.473686
65.945435	-79.895851
66.618347	-82.925415
67.291260	-81.199738
67.964172	-80.648911
68.637085	-82.196968
69.309998	-82.016579
69.982910	-87.612953
70.655823	-86.145729
71.328735	-83.210083
72.001648	-81.190697
72.674561	-83.192719
73.347473	-85.050697
74.020386	-81.348259
74.693298	-84.574234
75.366211	-83.674225
76.039124	-82.735840
76.712036	-83.357964
77.384949	-83.931114
78.057861	-84.771217
78.730774	-86.448502
79.403687	-82.483177
80.076599	-84.937195
80.749512	-80.400291
81.422424	-80.162682
82.095337	-80.868095
82.768250	-80.667732
83.441162	-80.703522
84.114075	-83.661308
84.786987	-87.534401
85.459900	-90.591286
86.132813	-87.463127
86.805725	-88.130074
87.478638	-82.673775
88.151550	-82.319138
88.824463	-86.838837
89.497375	-86.927879
90.170288	-83.113258
90.843201	-82.825882
91.516113	-79.944527
92.189026	-72.656021
92.861938	-77.344841
93.534851	-85.550804
94.207764	-88.107231
94.880676	-84.414825
95.553589	-80.839996
96.226501	-81.387009
96.899414	-82.967148
97.572327	-83.157005
98.245239	-84.797668
98.918152	-79.337982
99.591064	-76.548164
100.263977	-81.947151
100.936890	-84.747574
101.609802	-83.182816
102.282715	-82.140137
102.955627	-86.002182
103.628540	-86.144989
