Frequency (Hz)	Level (dB)
0.672913	-89.834740
1.345825	-81.175743
2.018738	-78.911957
2.691650	-81.010765
3.364563	-76.016014
4.037476	-73.124130
4.710388	-72.383278
5.383301	-72.407639
6.056213	-68.436691
6.729126	-63.083916
7.402039	-72.160484
8.074951	-54.956997
8.747864	-51.341709
9.420776	-56.562710
10.093689	-58.682751
10.766602	-54.343285
11.439514	-54.167084
12.112427	-61.414112
12.785339	-59.875851
13.458252	-58.895351
14.131165	-67.287025
14.804077	-66.688004
15.476990	-59.878349
16.149902	-69.311279
16.822815	-72.605476
17.495728	-62.364277
18.168640	-65.160408
18.841553	-69.432121
19.514465	-68.615372
20.187378	-68.092926
20.860291	-75.258194
21.533203	-74.312515
22.206116	-71.571938
22.879028	-75.913826
23.551941	-73.316109
24.224854	-70.823250
24.897766	-73.095978
25.570679	-74.685402
26.243591	-71.237511
26.916504	-66.762909
27.589417	-73.419388
28.262329	-75.723557
28.935242	-76.325920
29.608154	-68.201744
30.281067	-71.697350
30.953979	-75.431747
31.626892	-76.557640
32.299805	-76.956848
32.972717	-77.626953
33.645630	-78.565414
34.318542	-79.292229
34.991455	-81.773674
35.664368	-77.778236
36.337280	-79.321259
37.010193	-79.808174
37.683105	-75.847664
38.356018	-70.086967
39.028931	-75.459404
39.701843	-71.498306
40.374756	-67.892113
41.047668	-67.570732
41.720581	-77.042618
42.393494	-74.888145
43.066406	-76.319450
43.739319	-80.754898
44.412231	-73.534660
45.085144	-65.848000
45.758057	-53.870491
46.430969	-53.865200
47.103882	-71.321213
47.776794	-78.157196
48.449707	-74.289604
49.122620	-72.741699
49.795532	-66.838333
50.468445	-69.519005
51.141357	-79.191490
51.814270	-78.015129
52.487183	-79.261787
53.160095	-83.320068
53.833008	-80.066124
54.505920	-82.596489
55.178833	-81.321022
55.851746	-86.912254
56.524658	-79.269577
57.197571	-80.840858
57.870483	-86.497917
58.543396	-83.546791
59.216309	-83.916168
59.889221	-80.441986
60.562134	-79.229691
61.235046	-78.362648
61.907959	-81.489319
62.580872	-82.213051
63.253784	-82.082214
63.926697	-81.333740
64.599609	-84.291466
65.272522	-84.910583
65.945435	-83.945213
66.618347	-84.038239
67.291260	-85.621964
67.964172	-84.508812
68.637085	-84.121460
69.309998	-88.877579
69.982910	-84.980042
70.655823	-79.799461
71.328735	-84.134407
72.001648	-82.510063
72.674561	-81.613075
73.347473	-83.941872
74.020386	-81.914185
74.693298	-81.936577
75.366211	-87.141670
76.039124	-85.452576
76.712036	-82.993530
77.384949	-86.534554
78.057861	-82.842628
78.730774	-84.686798
79.403687	-86.428017
80.076599	-84.877304
80.749512	-86.076363
81.422424	-86.120415
82.095337	-83.491341
82.768250	-81.518608
83.441162	-79.153053
84.114075	-81.271034
84.786987	-82.582489
85.459900	-81.589592
86.132813	-85.592667
86.805725	-84.282013
87.478638	-84.809265
88.151550	-83.258575
88.824463	-82.026070
89.497375	-85.214439
90.170288	-85.820374
90.843201	-86.311867
91.516113	-86.517174
92.189026	-79.708229
92.861938	-82.264008
93.534851	-84.303383
94.207764	-87.883652
94.880676	-88.650505
95.553589	-88.138214
96.226501	-86.971245
96.899414	-86.906487
97.572327	-85.896873
98.245239	-85.367477
98.918152	-83.086746
99.591064	-81.195679
100.263977	-83.921028
100.936890	-83.343552
101.609802	-84.104172
102.282715	-84.516716
102.955627	-84.492058
103.628540	-89.221382
104.301453	-88.655945
104.974365	-88.887444
105.647278	-85.221733
106.320190	-82.902740
106.993103	-88.486069
107.666016	-87.116463
108.338928	-84.640259
109.011841	-85.863045
109.684753	-84.733543
110.357666	-86.415451
111.030579	-87.814705
111.703491	-89.096626
112.376404	-87.015709
113.049316	-84.228218
113.722229	-84.065170
114.395142	-81.952042
115.068054	-85.485069
115.740967	-84.688438
116.413879	-84.404846
117.086792	-85.995079
117.759705	-86.037796
118.432617	-83.865280
119.105530	-82.796356
119.778442	-81.100052
120.451355	-81.552414
121.124268	-83.263992
121.797180	-88.947678
122.470093	-85.548683
123.143005	-87.447159
123.815918	-89.119354
124.488831	-86.489578
125.161743	-85.952362
125.834656	-83.471420
126.507568	-82.798218
127.180481	-83.920784
127.853394	-85.593636
128.526306	-86.490891
129.199219	-87.516090
129.872131	-85.619507
130.545044	-84.169540
131.217957	-84.670776
131.890869	-86.689156
132.563782	-85.821327
133.236694	-84.895287
133.909607	-89.190468
134.582520	-87.072556
135.255432	-87.707771
135.928345	-86.021851
136.601257	-87.928474
137.274170	-87.241028
137.947083	-80.165848
138.619995	-79.418922
139.292908	-83.438164
139.965820	-88.251015
140.638733	-88.235413
141.311646	-85.530411
141.984558	-86.442764
