Frequency (Hz)	Level (dB)
0.672913	-91.529984
1.345825	-82.141113
2.018738	-80.303665
2.691650	-81.691933
3.364563	-77.522308
4.037476	-74.901398
4.710388	-71.490723
5.383301	-74.259407
6.056213	-66.805756
6.729126	-61.082573
7.402039	-63.326393
8.074951	-63.917702
8.747864	-62.316795
9.420776	-60.210430
10.093689	-57.223526
10.766602	-59.442223
11.439514	-58.282948
12.112427	-63.858944
12.785339	-61.893818
13.458252	-62.162067
14.131165	-68.828224
14.804077	-66.471123
15.476990	-61.730358
16.149902	-65.986717
16.822815	-69.527596
17.495728	-64.834976
18.168640	-65.380928
18.841553	-70.794350
19.514465	-71.332565
20.187378	-72.454414
20.860291	-74.343170
21.533203	-75.452522
22.206116	-72.884995
22.879028	-73.450569
23.551941	-74.796440
24.224854	-76.944824
24.897766	-76.636345
25.570679	-76.860207
26.243591	-75.460617
26.916504	-76.716728
27.589417	-78.220680
28.262329	-75.655579
28.935242	-76.006157
29.608154	-74.058617
30.281067	-73.988297
30.953979	-77.425232
31.626892	-77.732971
32.299805	-77.289314
32.972717	-80.669792
33.645630	-78.792442
34.318542	-75.573334
34.991455	-76.882698
35.664368	-80.382835
36.337280	-79.304398
37.010193	-78.574181
37.683105	-76.581589
38.356018	-73.944672
39.028931	-79.738670
39.701843	-74.831650
40.374756	-72.938004
41.047668	-70.878990
41.720581	-78.793884
42.393494	-76.858070
43.066406	-77.549400
43.739319	-80.662483
44.412231	-78.880577
45.085144	-76.469803
45.758057	-63.796009
46.430969	-63.714489
47.103882	-79.175514
47.776794	-81.182869
48.449707	-77.608093
49.122620	-79.956673
49.795532	-64.300705
50.468445	-68.246872
51.141357	-77.752876
51.814270	-78.358231
52.487183	-80.766068
53.160095	-81.785927
53.833008	-82.014694
54.505920	-85.605164
55.178833	-80.310165
55.851746	-82.544472
56.524658	-80.477989
57.197571	-80.695061
57.870483	-84.523209
58.543396	-82.852875
59.216309	-83.068939
59.889221	-86.001190
60.562134	-79.767021
61.235046	-71.348740
61.907959	-78.594612
62.580872	-81.512161
63.253784	-82.606781
63.926697	-87.471779
64.599609	-82.320511
65.272522	-82.575630
65.945435	-82.777336
66.618347	-84.405991
67.291260	-82.943512
67.964172	-83.971619
68.637085	-83.065025
69.309998	-79.149612
69.982910	-82.839073
70.655823	-84.885796
71.328735	-86.772560
72.001648	-88.510391
72.674561	-85.923637
73.347473	-84.537460
74.020386	-85.222939
74.693298	-80.388084
75.366211	-81.751381
76.039124	-84.530876
76.712036	-87.737778
77.384949	-87.157333
78.057861	-85.541420
78.730774	-85.245354
79.403687	-90.511749
80.076599	-82.063881
80.749512	-85.111404
81.422424	-80.415047
82.095337	-83.331627
82.768250	-81.130898
83.441162	-78.778511
84.114075	-79.781776
84.786987	-80.732536
85.459900	-80.044388
86.132813	-82.740509
86.805725	-81.388435
87.478638	-80.685226
88.151550	-87.277802
88.824463	-84.360901
89.497375	-82.666649
90.170288	-85.557083
90.843201	-86.448021
91.516113	-80.242592
92.189026	-71.935730
92.861938	-80.341064
93.534851	-81.587601
94.207764	-84.926666
94.880676	-86.731575
95.553589	-87.475670
96.226501	-84.301338
96.899414	-85.521782
97.572327	-86.002167
98.245239	-84.134850
98.918152	-78.076668
99.591064	-78.569153
100.263977	-87.975479
100.936890	-84.716110
101.609802	-86.425880
102.282715	-86.402847
102.955627	-84.985168
103.628540	-88.159729
104.301453	-86.268913
104.974365	-83.646912
105.647278	-91.843811
106.320190	-88.712845
106.993103	-90.077705
107.666016	-84.731323
108.338928	-82.615166
109.011841	-85.849846
109.684753	-88.386124
110.357666	-88.552116
111.030579	-90.483070
111.703491	-89.299255
112.376404	-85.389427
113.049316	-88.417686
113.722229	-86.218956
114.395142	-85.133354
115.068054	-83.857613
115.740967	-84.586830
116.413879	-88.753914
117.086792	-87.607574
117.759705	-83.913605
118.432617	-86.217514
119.105530	-90.464104
119.778442	-86.469841
120.451355	-85.204094
121.124268	-85.940460
121.797180	-86.033165
122.470093	-86.407471
123.143005	-88.061111
123.815918	-85.251709
124.488831	-86.334373
125.161743	-88.603050
125.834656	-88.394135
126.507568	-85.507866
127.180481	-86.891876
127.853394	-89.991692
128.526306	-90.089439
129.199219	-87.603935
129.872131	-89.981239
130.545044	-86.782593
131.217957	-85.440773
131.890869	-86.861259
132.563782	-85.413528
133.236694	-84.965935
133.909607	-87.409950
134.582520	-90.529366
135.255432	-87.038261
135.928345	-86.704216
136.601257	-86.798622
137.274170	-86.342850
137.947083	-86.903221
138.619995	-84.458557
139.292908	-84.685898
139.965820	-87.668053
140.638733	-88.810913
141.311646	-87.651070
141.984558	-92.764336
142.657471	-87.646690
143.330383	-87.080994
144.003296	-90.259834
144.676208	-91.458588
145.349121	-92.385727
146.022034	-90.044228
146.694946	-86.899284
147.367859	-88.100922
148.040771	-85.446625
148.713684	-89.198593
149.386597	-82.659828
150.059509	-74.451866
150.732422	-84.446838
151.405334	-88.512138
152.078247	-86.099983
152.751160	-88.387367
153.424072	-91.695465
154.096985	-93.290665
154.769897	-87.474617
155.442810	-87.640900
156.115723	-87.563065
156.788635	-85.967949
157.461548	-89.851753
158.134460	-87.328712
158.807373	-87.898819
159.480286	-89.378517
160.153198	-87.522072
160.826111	-87.068398
161.499023	-85.427551
162.171936	-86.444435
162.844849	-87.237183
163.517761	-88.019035
164.190674	-86.798904
164.863586	-89.491936
165.536499	-91.402023
166.209412	-89.653572
166.882324	-91.139923
167.555237	-90.492455
168.228149	-91.215790
168.901062	-87.891502
169.573975	-87.851067
170.246887	-87.548126
170.919800	-86.481667
171.592712	-86.406517
172.265625	-87.062462
172.938538	-89.892082
173.611450	-90.167236
174.284363	-89.753685
174.957275	-89.565979
175.630188	-87.908051
176.303101	-87.412437
176.976013	-87.740494
177.648926	-90.752808
178.321838	-86.531105
178.994751	-88.933601
179.667664	-89.755028
180.340576	-89.445175
181.013489	-90.447289
181.686401	-86.418571
182.359314	-89.323288
183.032227	-87.840706
183.705139	-86.254005
184.378052	-87.628906
185.050964	-88.680130
185.723877	-90.095291
186.396790	-91.619530
187.069702	-88.573944
187.742615	-86.607689
188.415527	-90.247704
189.088440	-90.472893
189.761353	-93.463036
190.434265	-88.590912
191.107178	-92.093719
191.780090	-88.144135
192.453003	-91.516228
193.125916	-89.535896
193.798828	-88.939995
194.471741	-89.934654
195.144653	-88.134521
195.817566	-90.187393
196.490479	-91.228256
197.163391	-88.435730
197.836304	-88.792854
198.509216	-91.805084
199.182129	-90.775452
199.855042	-91.983292
200.527954	-91.503914
201.200867	-89.788231
201.873779	-88.855644
202.546692	-87.279068
203.219604	-91.581383
203.892517	-91.351196
204.565430	-90.826538
205.238342	-90.173195
205.911255	-90.611420
206.584167	-92.482758
207.257080	-91.258499
207.929993	-90.870430
208.602905	-86.159279
209.275818	-85.789299
209.948730	-87.578827
210.621643	-88.205849
211.294556	-86.773811
211.967468	-86.021736
212.640381	-85.453743
213.313293	-87.983688
213.986206	-86.843803
214.659119	-88.953865
215.332031	-89.416641
216.004944	-89.584488
216.677856	-93.699135
217.350769	-89.492180
218.023682	-87.960571
218.696594	-90.264359
219.369507	-90.502388
220.042419	-92.713654
220.715332	-88.775658
221.388245	-87.628258
222.061157	-90.173347
222.734070	-90.207275
223.406982	-87.591278
224.079895	-94.605011
224.752808	-85.969498
225.425720	-95.981873
226.098633	-88.896179
226.771545	-93.118599
227.444458	-91.328094
228.117371	-87.379021
228.790283	-87.165466
229.463196	-86.187622
230.136108	-88.525177
230.809021	-88.126709
231.481934	-89.003029
232.154846	-87.047981
232.827759	-91.776443
233.500671	-89.446434
234.173584	-88.192574
234.846497	-85.636017
235.519409	-90.889977
236.192322	-88.404655
236.865234	-86.453506
237.538147	-87.496590
238.211060	-88.276230
238.883972	-88.826294
239.556885	-87.470184
240.229797	-88.510368
240.902710	-85.470963
241.575623	-87.434181
242.248535	-86.842651
242.921448	-92.436737
243.594360	-83.378647
244.267273	-91.569748
244.940186	-85.994888
245.613098	-88.340324
246.286011	-86.162308
246.958923	-88.160881
247.631836	-86.358612
248.304749	-85.474472
248.977661	-88.669151
249.650574	-83.417061
250.323486	-86.490379
250.996399	-85.262436
251.669312	-84.811707
252.342224	-84.066269
253.015137	-86.931366
253.688049	-84.737335
254.360962	-83.624161
255.033875	-81.261696
255.706787	-80.122581
256.379700	-80.668198
257.052612	-85.717255
257.725525	-85.210358
258.398438	-82.373543
259.071350	-81.320343
259.744263	-81.411156
260.417175	-80.277107
261.090088	-81.195419
261.763000	-85.495308
262.435913	-79.786346
263.108826	-82.843773
263.781738	-80.679581
264.454651	-81.052574
265.127563	-80.464348
265.800476	-80.337006
266.473389	-80.498009
267.146301	-82.313957
267.819214	-77.802376
268.492126	-77.385033
269.165039	-79.525467
269.837952	-79.582047
270.510864	-77.208839
271.183777	-75.460815
271.856689	-75.939995
272.529602	-78.414322
273.202515	-76.560959
273.875427	-76.531021
274.548340	-76.551109
275.221252	-74.864449
275.894165	-74.493050
276.567078	-76.571686
277.239990	-72.866539
277.912903	-74.423576
278.585815	-73.273788
279.258728	-71.689697
279.931641	-73.756630
280.604553	-71.111000
281.277466	-70.953705
281.950378	-69.474167
282.623291	-68.037453
283.296204	-70.858101
283.969116	-66.903847
284.642029	-67.070694
285.314941	-67.795326
285.987854	-63.800243
286.660767	-63.984043
287.333679	-64.522255
288.006592	-63.460827
288.679504	-59.687328
289.352417	-57.443741
290.025330	-55.723389
290.698242	-58.722050
291.371155	-58.064693
292.044067	-53.469704
292.716980	-54.843555
293.389893	-55.030140
294.062805	-54.279255
294.735718	-52.069721
295.408630	-49.547813
296.081543	-47.690975
296.754456	-45.062592
297.427368	-44.779232
298.100281	-39.427952
298.773193	-33.389511
299.446106	-25.445032
300.119019	-15.756318
300.791931	-7.271402
301.464844	-3.039936
302.137756	-6.639102
302.810669	-17.372105
303.483582	-28.788288
304.156494	-33.183681
304.829407	-40.276043
305.502319	-41.997738
306.175232	-46.150295
306.848145	-47.086163
307.521057	-49.126835
308.193970	-50.582188
308.866882	-52.520866
309.539795	-53.561447
310.212708	-56.551273
310.885620	-57.027771
311.558533	-55.412796
312.231445	-55.149681
312.904358	-57.183914
313.577271	-58.866177
314.250183	-59.403011
314.923096	-62.748703
315.596008	-65.170067
316.268921	-62.877842
316.941833	-65.737381
317.614746	-66.993637
318.287659	-66.031067
318.960571	-69.375015
319.633484	-67.807739
320.306396	-68.922844
320.979309	-70.417404
321.652222	-70.963280
322.325134	-71.199890
322.998047	-74.085220
323.670959	-71.662666
324.343872	-73.309555
325.016785	-72.807251
325.689697	-73.731972
326.362610	-77.017937
327.035522	-74.166641
327.708435	-75.967079
328.381348	-76.105591
329.054260	-75.912735
329.727173	-76.095566
330.400085	-76.667374
331.072998	-79.664047
331.745911	-74.660370
332.418823	-77.044151
333.091736	-78.509758
