Frequency (Hz)	Level (dB)
0.672913	-93.986282
1.345825	-81.879929
2.018738	-78.442123
2.691650	-79.523628
3.364563	-78.285568
4.037476	-75.622284
4.710388	-73.618271
5.383301	-73.799316
6.056213	-65.198860
6.729126	-59.794170
7.402039	-63.640831
8.074951	-57.746284
8.747864	-58.325535
9.420776	-59.035698
10.093689	-57.711643
10.766602	-57.322552
11.439514	-57.730957
12.112427	-64.554085
12.785339	-63.034256
13.458252	-63.415291
14.131165	-66.486519
14.804077	-65.507332
15.476990	-61.251404
16.149902	-65.213280
16.822815	-68.340691
17.495728	-62.500153
18.168640	-63.710480
18.841553	-70.404953
19.514465	-71.002380
20.187378	-69.493286
20.860291	-70.259682
21.533203	-73.285980
22.206116	-68.648178
22.879028	-72.700943
23.551941	-74.757416
24.224854	-73.626961
24.897766	-72.977211
25.570679	-72.234550
26.243591	-72.987267
26.916504	-74.319099
27.589417	-74.843719
28.262329	-70.894745
28.935242	-65.931313
29.608154	-65.052483
30.281067	-68.956001
30.953979	-71.099945
31.626892	-71.451271
32.299805	-77.167877
32.972717	-71.893349
33.645630	-70.365715
34.318542	-69.989113
34.991455	-69.911072
35.664368	-71.145416
36.337280	-69.079681
37.010193	-66.554756
37.683105	-62.818520
38.356018	-60.557262
39.028931	-61.352608
39.701843	-65.519623
40.374756	-65.657852
41.047668	-67.498589
41.720581	-66.868622
42.393494	-62.948063
43.066406	-64.598053
43.739319	-67.951355
44.412231	-70.542358
45.085144	-78.798386
45.758057	-64.133324
46.430969	-63.987473
47.103882	-72.848564
47.776794	-74.395248
48.449707	-78.592598
49.122620	-76.670296
49.795532	-64.726067
50.468445	-68.466614
51.141357	-77.692772
51.814270	-73.230415
52.487183	-72.792389
53.160095	-77.491714
53.833008	-77.861038
54.505920	-77.594536
55.178833	-72.300659
55.851746	-71.219223
56.524658	-72.916992
57.197571	-79.721962
57.870483	-79.951523
58.543396	-76.885643
59.216309	-73.812172
59.889221	-75.737228
60.562134	-71.442207
61.235046	-71.900223
61.907959	-75.714661
62.580872	-76.147484
63.253784	-72.803711
63.926697	-70.846405
64.599609	-69.640831
65.272522	-71.671364
65.945435	-72.326233
66.618347	-74.881104
67.291260	-71.372482
67.964172	-69.062111
68.637085	-68.871651
69.309998	-71.915054
69.982910	-72.600037
70.655823	-73.414711
71.328735	-73.805817
72.001648	-73.672943
72.674561	-74.991455
73.347473	-75.152077
74.020386	-82.639061
74.693298	-74.956093
75.366211	-74.758652
76.039124	-70.730728
76.712036	-73.622894
77.384949	-76.849976
78.057861	-78.788376
78.730774	-84.251579
79.403687	-80.152351
80.076599	-71.123039
80.749512	-73.091408
81.422424	-78.935333
82.095337	-79.020386
82.768250	-77.515045
83.441162	-70.652397
84.114075	-68.619781
84.786987	-66.818436
85.459900	-73.941154
86.132813	-80.406075
86.805725	-81.995308
87.478638	-76.351822
88.151550	-77.499840
88.824463	-77.132080
89.497375	-78.178886
90.170288	-80.849739
90.843201	-82.406258
91.516113	-78.890556
92.189026	-71.159866
92.861938	-80.639259
93.534851	-83.676018
94.207764	-83.078560
94.880676	-80.821083
95.553589	-84.257202
96.226501	-88.619652
96.899414	-84.377342
97.572327	-85.515312
98.245239	-87.449799
98.918152	-77.898758
99.591064	-76.153473
100.263977	-81.555557
100.936890	-83.636986
101.609802	-86.187836
102.282715	-88.515831
102.955627	-80.756401
103.628540	-80.516434
104.301453	-86.129333
104.974365	-85.137878
105.647278	-88.526718
106.320190	-83.712479
106.993103	-82.439667
107.666016	-80.379646
108.338928	-84.409668
109.011841	-88.711975
109.684753	-86.640343
110.357666	-85.397087
111.030579	-83.787239
111.703491	-83.329956
112.376404	-83.904213
113.049316	-85.648811
113.722229	-88.526100
114.395142	-87.135628
115.068054	-85.332314
115.740967	-88.368134
116.413879	-89.904633
117.086792	-89.328766
117.759705	-90.035995
118.432617	-86.901199
119.105530	-85.246666
119.778442	-87.643555
120.451355	-85.184082
121.124268	-89.890572
121.797180	-87.523941
122.470093	-87.912376
123.143005	-86.205894
123.815918	-85.161858
124.488831	-85.508575
125.161743	-85.224449
125.834656	-84.666885
126.507568	-83.802261
127.180481	-87.591103
127.853394	-88.104309
128.526306	-88.935944
129.199219	-88.100525
129.872131	-86.797142
130.545044	-87.457146
131.217957	-91.481247
131.890869	-88.795242
132.563782	-86.975685
133.236694	-87.757248
133.909607	-86.552132
134.582520	-85.981377
135.255432	-86.059364
135.928345	-85.724747
136.601257	-85.316521
137.274170	-88.406174
137.947083	-87.311241
138.619995	-84.820839
139.292908	-84.336685
139.965820	-90.134377
140.638733	-86.268669
141.311646	-84.653175
141.984558	-86.270103
142.657471	-86.491463
143.330383	-87.434357
144.003296	-86.233398
144.676208	-86.015350
145.349121	-86.560295
146.022034	-85.971352
146.694946	-84.996452
147.367859	-88.926140
148.040771	-89.937698
148.713684	-86.642952
149.386597	-81.799042
150.059509	-75.111168
150.732422	-83.682022
151.405334	-83.761139
152.078247	-86.697723
152.751160	-87.877449
153.424072	-88.955315
154.096985	-87.979012
154.769897	-88.879486
155.442810	-87.245201
156.115723	-88.122459
156.788635	-86.775398
157.461548	-88.900497
158.134460	-87.185493
158.807373	-89.457588
159.480286	-86.399155
160.153198	-87.192978
160.826111	-91.089005
161.499023	-89.672379
162.171936	-89.202179
162.844849	-84.862198
163.517761	-89.222466
164.190674	-86.505043
164.863586	-87.213478
165.536499	-87.889328
166.209412	-89.910057
166.882324	-90.214157
167.555237	-89.058548
168.228149	-89.418510
168.901062	-87.018745
169.573975	-88.013817
