Frequency (Hz)	Level (dB)
0.672913	-90.994705
1.345825	-86.180458
2.018738	-84.157310
2.691650	-80.370316
3.364563	-72.986923
4.037476	-72.808151
4.710388	-69.559792
5.383301	-61.446705
6.056213	-60.170559
6.729126	-55.638348
7.402039	-53.346642
8.074951	-49.554657
8.747864	-43.695927
9.420776	-50.093029
10.093689	-59.468979
10.766602	-54.011189
11.439514	-56.325600
12.112427	-69.236366
12.785339	-57.892498
13.458252	-54.663025
14.131165	-64.850739
14.804077	-65.095161
15.476990	-57.833088
16.149902	-62.099655
16.822815	-66.166359
17.495728	-59.015369
18.168640	-62.826633
18.841553	-72.607231
19.514465	-64.977448
20.187378	-64.939995
20.860291	-70.625443
21.533203	-69.971146
22.206116	-65.939186
22.879028	-71.963112
23.551941	-75.882729
24.224854	-66.609863
24.897766	-68.913742
25.570679	-73.372620
26.243591	-68.953133
26.916504	-65.769905
27.589417	-64.768379
28.262329	-73.334862
28.935242	-69.542366
29.608154	-68.613708
30.281067	-75.293541
30.953979	-72.264236
31.626892	-74.286163
32.299805	-71.409149
32.972717	-68.957809
33.645630	-72.894936
34.318542	-75.209747
34.991455	-77.919128
35.664368	-74.911697
36.337280	-71.316765
37.010193	-71.470894
37.683105	-69.832237
38.356018	-71.088226
39.028931	-64.871735
39.701843	-68.977478
40.374756	-70.391693
41.047668	-65.824112
41.720581	-70.768135
42.393494	-71.797401
43.066406	-68.653801
43.739319	-71.811493
44.412231	-67.992622
45.085144	-63.451206
45.758057	-53.552341
46.430969	-52.976376
47.103882	-71.003494
47.776794	-75.376709
48.449707	-75.487030
49.122620	-71.061073
49.795532	-67.054947
50.468445	-69.799072
51.141357	-78.739449
51.814270	-78.945656
52.487183	-77.751411
53.160095	-76.781410
53.833008	-78.509186
54.505920	-81.925690
55.178833	-77.313126
55.851746	-76.898918
56.524658	-76.577293
57.197571	-78.969421
57.870483	-80.042824
58.543396	-86.230797
59.216309	-81.017876
59.889221	-80.662987
60.562134	-80.196884
61.235046	-78.220406
61.907959	-85.905228
62.580872	-83.008057
63.253784	-81.768044
63.926697	-79.501511
64.599609	-79.986374
65.272522	-81.739639
65.945435	-81.262375
66.618347	-81.461876
67.291260	-81.028770
67.964172	-79.511284
68.637085	-80.918648
69.309998	-82.322411
69.982910	-83.447685
70.655823	-84.451019
71.328735	-80.849464
72.001648	-82.780258
72.674561	-82.192528
73.347473	-82.981621
74.020386	-81.116936
74.693298	-80.900589
75.366211	-83.411018
76.039124	-83.748833
76.712036	-82.633553
77.384949	-81.619843
78.057861	-83.073624
78.730774	-84.532265
79.403687	-82.435410
80.076599	-84.313576
80.749512	-83.578957
81.422424	-77.921555
82.095337	-80.221603
82.768250	-84.467018
83.441162	-81.203758
84.114075	-81.017937
84.786987	-82.763939
85.459900	-81.763443
86.132813	-84.130455
86.805725	-79.859222
87.478638	-78.910210
88.151550	-85.207222
88.824463	-84.611488
89.497375	-86.514694
90.170288	-83.307770
90.843201	-83.320755
91.516113	-82.538811
92.189026	-76.387886
92.861938	-78.925491
93.534851	-81.873230
94.207764	-81.303841
94.880676	-85.971054
95.553589	-87.055222
96.226501	-84.042336
96.899414	-83.872185
97.572327	-85.625946
98.245239	-82.620361
98.918152	-80.299858
99.591064	-81.521599
100.263977	-82.391174
100.936890	-83.438911
101.609802	-82.398125
102.282715	-82.608894
102.955627	-86.875938
